00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
|     | 7~1 | Band3 Cutoff                                     | 00~61        | 300~10.0k              | 15  |
| 12  | 6~0 | Band3 Q                                          | 00~5F        | 0.5~10.0               | 16  |
|     | 7   | Band3 Gain                                       | DC~24        | -18.0~+18.0            | 17  |
| 13  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Band4 Cutoff                                     | 00~C3        | 500~20.0k              | 18  |
| 14  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Band4 Q                                          | 00~5F        | 0.5~10.0               | 19  |
| 15  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Band4 Gain                                       | DC~24        | -18.0~+18.0            | 20  |
| 16  | 3~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


12:Stereo Graphic 7-Band EQ
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Type                                             | 00~0B        | Wide1~WideHigh         |  5  |
|  4  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band1 Gain                                       | DC~24        | -18.0~+18.0            |  6  |
|  5  | 6~0 | Band2 Gain                                       | DC~24        | -18.0~+18.0            |  7  |
|     | 7   | Band3 Gain                                       | DC~24        | -18.0~+18.0            |  8  |
|  6  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Band4 Gain                                       | DC~24        | -18.0~+18.0            |  9  |
|  7  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Band5 Gain                                       | DC~24        | -18.0~+18.0            | 10  |
|  8  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Band6 Gain                                       | DC~24        | -18.0~+18.0            | 11  |
|  9  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Band7 Gain                                       | DC~24        | -18.0~+18.0            | 12  |
| 10  | 1~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


13:Stereo Master 3-Band EQ
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Low EQ Cutoff                                    | 00~31        | 20~1.00k               |  5  |
|  4  | 2~0 |                                                  |              |                        |     |
