Song Control Size: 5264 byte
Object Version: 0
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|   247 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   248 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   249 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   250 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   251 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   252 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   253 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   254 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   255 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   256 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   257 | 5   | MIDI Track 07         | Mute                                       | 00~01        | Off~On             |  4|  6|  0| 14|  0|
|       | 6   | MIDI Track 07         | Intro                                      | 00~01        | Off~On             |   |   |   |   |   |
|       | 7   | MIDI Track 07         | Loop                                       | 00~01        | Off~On             |   |   |   |   |   |
|   258 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   259 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   260 |     | MIDI Track 07         | Loop Start Measure                         | 000~~3E7     | 0~999              |   |   |   |   |   |
|   261 |     |                       |                                            |              |                    |   |   |   |   |   |
|   262 |     | MIDI Track 07         | Loop End Measure                           | 000~~3E7     | 0~999              |   |   |   |   |   |
|   263 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|   264 |     | MIDI Track 08         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|   265 |     |                       |                                            |              |                    |   |   |   |   |   |
|   266 |     |                       |                                            |              |                    |   |   |   |   |   |
|   267 |     |                       |                                            |              |                    |   |   |   |   |   |
|   268 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   269 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   270 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   271 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   272 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   273 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   274 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   275 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   276 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   277 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   278 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   279 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   280 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   281 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   282 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   283 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   284 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   285 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   286 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   287 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   288 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   289 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   290 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   291 |     | MIDI Track 08         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   292 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   293 | 5   | MIDI Track 08         | Mute                                       | 00~01        | Off~On             |  4|  7|  0| 14|  0|
