0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~4 | [EG1 (Filter)] Time Mod.3 Intensity To Slope Time   | 9D~63        | -99~+99            |11/12| 11|  0| 12|  2|
|  137 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.3 Intensity To Release Time | 9D~63        | -99~+99            |11/12| 11|  0| 12|  3|
|  138 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Reset Source                         | 00~34        | Off~Tempo          |11/12| 11|  0| 13|  0|
|  139 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Reset Threshold                      | 9D~63        | -99~+99            |11/12| 11|  0| 14|  0|
|  140 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|  141 |     | [EG2 (Pitch)] Start Level                           | 9D~63        | -99~+99            |11/12| 12|  0|  0|  0|
|  142 |     | [EG2 (Pitch)] Attack Level                          | 9D~63        | -99~+99            |11/12| 12|  0|  0|  1|
|  143 |     | [EG2 (Pitch)] Break Level                           | 9D~63        | -99~+99            |11/12| 12|  0|  0|  2|
|  144 |     | [EG2 (Pitch)] Sustain Level                         | 9D~63        | -99~+99            |11/12| 12|  0|  0|  3|
|  145 |     | [EG2 (Pitch)] Release Level                         | 9D~63        | -99~+99            |11/12| 12|  0|  0|  4|
|  146 | 6~0 | [EG2 (Pitch)] Attack Time                           | 00~63        | 0~99               |11/12| 12|  0|  1|  0|
|      | 7   | [EG2 (Pitch)] Decay Time                            | 00~63        | 0~99               |11/12| 12|  0|  1|  1|
|  147 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [EG2 (Pitch)] Slope Time                            | 00~63        | 0~99               |11/12| 12|  0|  1|  2|
|  148 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [EG2 (Pitch)] Release Time                          | 00~63        | 0~99               |11/12| 12|  0|  1|  3|
|  149 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Attack Time EG Curve                  | 00~0A        | 0~10               |11/12| 12|  0|  2|  0|
|  150 | 3~0 | [EG2 (Pitch)] Decay Time EG Curve                   | 00~0A        | 0~10               |11/12| 12|  0|  2|  1|
|      | 7~4 | [EG2 (Pitch)] Slope Time EG Curve                   | 00~0A        | 0~10               |11/12| 12|  0|  2|  2|
|  151 | 3~0 | [EG2 (Pitch)] Release Time EG Curve                 | 00~0A        | 0~10               |11/12| 12|  0|  2|  3|
|      | 7~4 | [EG2 (Pitch)] Level Mod.Source                      | 00~34        | Off~Tempo          |11/12| 12|  0|  3|  0|
|  152 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Level Mod.Intensity To Start Level    | 9D~63        | -99~+99            |11/12| 12|  0|  4|  0|
|  153 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Level Mod.Intensity To Attack Level   | 9D~63        | -99~+99            |11/12| 12|  0|  4|  1|
|  154 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Level Mod.Intensity To Break Level    | 9D~63        | -99~+99            |11/12| 12|  0|  4|  2|
|  155 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)]                                       | 00(fixed)    | 0                  |11/12| 12|  0|  5|  0|
|  156 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)]                                       | 00(fixed)    | 0                  |11/12| 12|  0|  6|  0|
|  157 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)]                                       | 00(fixed)    | 0                  |11/12| 12|  0|  6|  1|
|  158 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)]                                       | 00(fixed)    | 0                  |11/12| 12|  0|  6|  2|
|  159 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.1 Source                     | 00~34        | Off~Tempo          |11/12| 12|  0|  7|  0|
|  160 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.1 Intensity To Attack Time   | 9D~63        | -99~+99            |11/12| 12|  0|  8|  0|
|  161 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.1 Intensity To Decay Time    | 9D~63        | -99~+99            |11/12| 12|  0|  8|  1|
|  162 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.1 Intensity To Slope Time    | 9D~63        | -99~+99            |11/12| 12|  0|  8|  2|
|  163 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.1 Intensity To Release Time  | 9D~63        | -99~+99            |11/12| 12|  0|  8|  3|
|  164 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.2 Source                     | 00~34        | Off~Tempo          |11/12| 12|  0|  9|  0|
|  165 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.2 Intensity To Attack Time   | 9D~63        | -99~+99            |11/12| 12|  0| 10|  0|
|  166 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.2 Intensity To Decay Time    | 9D~63        | -99~+99            |11/12| 12|  0| 10|  1|
|  167 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.2 Intensity To Slope Time    | 9D~63        | -99~+99            |11/12| 12|  0| 10|  2|
|  168 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.2 Intensity To Release Time  | 9D~63        | -99~+99            |11/12| 12|  0| 10|  3|
|  169 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.3 Source                     | 00~34        | Off~Tempo          |11/12| 12|  0| 11|  0|
|  170 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.3 Intensity To Attack Time   | 9D~63        | -99~+99            |11/12| 12|  0| 12|  0|
|  171 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.3 Intensity To Decay Time    | 9D~63        | -99~+99            |11/12| 12|  0| 12|  1|
|  172 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.3 Intensity To Slope Time    | 9D~63        | -99~+99            |11/12| 12|  0| 12|  2|
|  173 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Time Mod.3 Intensity To Release Time  | 9D~63        | -99~+99            |11/12| 12|  0| 12|  3|
|  174 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Reset Source                          | 00~34        | Off~Tempo          |11/12| 12|  0| 13|  0|
|  175 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG2 (Pitch)] Reset Threshold                       | 9D~63        | -99~+99            |11/12| 12|  0| 14|  0|
|  176 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|  177 |     | [EG3] Start Level                                   | 9D~63        | -99~+99            |11/12| 13|  0|  0|  0|
|  178 |     | [EG3] Attack Level                                  | 9D~63        | -99~+99            |11/12| 13|  0|  0|  1|
|  179 |     | [EG3] Break Level                                   | 9D~63        | -99~+99            |11/12| 13|  0|  0|  2|
|  180 |     | [EG3] Sustain Level                                 | 9D~63        | -99~+99            |11/12| 13|  0|  0|  3|
|  181 |     | [EG3] Release Level                                 | 9D~63        | -99~+99            |11/12| 13|  0|  0|  4|
|  182 | 6~0 | [EG3] Attack Time                                   | 00~63        | 0~99               |11/12| 13|  0|  1|  0|
