0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|   62 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Intensity                    | 9D~63        | -99~+99            |11/12|  9|  0| 13|  0|
|   63 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Int.Mod.Source               | 00~34        | Off~Tempo          |11/12|  9|  0| 14|  0|
|   64 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Int.Mod.Intensity            | 9D~63        | -99~+99            |11/12|  9|  0| 15|  0|
|   65 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.2 Source                       | 00~34        | Off~Tempo          |11/12|  9|  0| 16|  0|
|   66 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.2 Intensity                    | 9D~63        | -99~+99            |11/12|  9|  0| 17|  0|
|   67 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [LFO4] MIDI Sync                                    | 00~01        | Off~On             |11/12|  9|  0| 18|  0|
|      | 6~3 | [LFO4] MIDI Sync Base Note                          | 00~09        | 1/32~1/1           |11/12|  9|  0| 19|  0|
|      | 7   | [LFO4] MIDI Sync Times                              | 01~20        | 1~32               |11/12|  9|  0| 20|  0|
|   68 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|   69 |     | [Amplifier EG] Start Level                          | 00~63        | 0~99               |11/12| 10|  0|  0|  0|
|   70 |     | [Amplifier EG] Attack Level                         | 00~63        | 0~99               |11/12| 10|  0|  0|  1|
|   71 |     | [Amplifier EG] Break Level                          | 00~63        | 0~99               |11/12| 10|  0|  0|  2|
|   72 |     | [Amplifier EG] Sustain Level                        | 00~63        | 0~99               |11/12| 10|  0|  0|  3|
|   73 |     | [Amplifier EG] Release Level                        | 00(fixed)    | 0                  |11/12| 10|  0|  0|  4|
|   74 | 6~0 | [Amplifier EG] Attack Time                          | 00~63        | 0~99               |11/12| 10|  0|  1|  0|
|      | 7   | [Amplifier EG] Decay Time                           | 00~63        | 0~99               |11/12| 10|  0|  1|  1|
|   75 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Amplifier EG] Slope Time                           | 00~63        | 0~99               |11/12| 10|  0|  1|  2|
|   76 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Amplifier EG] Release Time                         | 00~63        | 0~99               |11/12| 10|  0|  1|  3|
|   77 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Attack Time EG Curve                 | 00~0A        | 0~10               |11/12| 10|  0|  2|  0|
|   78 | 3~0 | [Amplifier EG] Decay Time EG Curve                  | 00~0A        | 0~10               |11/12| 10|  0|  2|  1|
|      | 7~4 | [Amplifier EG] Slope Time EG Curve                  | 00~0A        | 0~10               |11/12| 10|  0|  2|  2|
|   79 | 3~0 | [Amplifier EG] Release Time EG Curve                | 00~0A        | 0~10               |11/12| 10|  0|  2|  3|
|      | 7~4 | [Amplifier EG] Level Mod.Source                     | 00~34        | Off~Tempo          |11/12| 10|  0|  3|  0|
|   80 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Level Mod.Intensity To Start Level   | 9D~63        | -99~+99            |11/12| 10|  0|  4|  0|
|   81 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Level Mod.Intensity To Attack Level  | 9D~63        | -99~+99            |11/12| 10|  0|  4|  1|
|   82 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Level Mod.Intensity To Break Level   | 9D~63        | -99~+99            |11/12| 10|  0|  4|  2|
|   83 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG]                                      | 00(fixed)    | 0                  |11/12| 10|  0|  5|  0|
|   84 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG]                                      | 00(fixed)    | 0                  |11/12| 10|  0|  6|  0|
|   85 | 3~0 |                                                     |              |                    |     |   |   |   |   |
